"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-01-01",,"57","39",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-01-02",,"58","44",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-01-03",,"56","40",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-01-04",,"64","52",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-01-05",,"60","52",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-01-06",,"56","42",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-01-07",,"52","41",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-01-08",,"58","47",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-01-09",,"58","50",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-01-10",,"56","43",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-01-11",,"58","51",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-01-12",,"58","46",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-01-13",,"65","40",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-01-14",,"54","44",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-01-15",,"60","43",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-01-16",,"61","53",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-01-17",,"60","49",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-01-18",,"58","51",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-01-19",,"56","43",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-01-20",,"55","36",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-01-21",,"56","36",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-01-22",,"58","47",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-01-23",,"56","41",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-01-24",,"58","41",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-01-25",,"56","40",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-01-26",,"54","39",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-01-27",,"60","39",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-01-28",,"70","44",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-01-29",,"58","43",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-01-30",,"64","43",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-01-31",,"66","42",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-02-01",,"68","46",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-02-02",,"69","46",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-02-03",,"76","46",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-02-04",,"70","49",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-02-05",,"73","46",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-02-06",,"72","45",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-02-07",,"73","48",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-02-08",,"71","46",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-02-09",,"72","46",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-02-10",,"69","45",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-02-11",,"56","39",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-02-12",,"60","38",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-02-13",,"60","43",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-02-14",,"60","38",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-02-15",,"63","37",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-02-16",,"62","38",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-02-17",,"65","40",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-02-18",,"57","44",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-02-19",,"53","41",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-02-20",,"51","31",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-02-21",,"55","40",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-02-22",,"56","40",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-02-23",,"54","37",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-02-24",,"55","33",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-02-25",,"57","36",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-02-26",,"54","43",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-02-27",,"55","38",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-02-28",,"54","34",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-03-01",,"57","47",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-03-02",,"53","42",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-03-03",,"51","40",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-03-04",,"54","37",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-03-05",,"63","37",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-03-06",,"63","41",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-03-07",,"68","48",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-03-08",,"64","50",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-03-09",,"61","49",
